[135] train-err:0.006940 train-nlik:0.046317 valid-err:0.021400 valid-nlik:0.081596 test-err:0.019200 test-nlik:0.072803
[136] train-err:0.006860 train-nlik:0.046272 valid-err:0.021300 valid-nlik:0.081594 test-err:0.019200 test-nlik:0.072776
[137] train-err:0.006880 train-nlik:0.046270 valid-err:0.021400 valid-nlik:0.081646 test-err:0.019100 test-nlik:0.072824
[138] train-err:0.006840 train-nlik:0.046230 valid-err:0.021500 valid-nlik:0.081680 test-err:0.019300 test-nlik:0.072787
[139] train-err:0.006780 train-nlik:0.046210 valid-err:0.021600 valid-nlik:0.081630 test-err:0.019400 test-nlik:0.072741
[140] train-err:0.006780 train-nlik:0.046205 valid-err:0.021500 valid-nlik:0.081318 test-err:0.019200 test-nlik:0.072676
[141] train-err:0.006700 train-nlik:0.046104 valid-err:0.021400 valid-nlik:0.081235 test-err:0.019100 test-nlik:0.072601
[142] train-err:0.006660 train-nlik:0.046022 valid-err:0.021300 valid-nlik:0.081187 test-err:0.019000 test-nlik:0.072527
[143] train-err:0.006560 train-nlik:0.045946 valid-err:0.020900 valid-nlik:0.081123 test-err:0.019100 test-nlik:0.072501
[144] train-err:0.006500 train-nlik:0.045924 valid-err:0.020800 valid-nlik:0.081067 test-err:0.019000 test-nlik:0.072492
[145] train-err:0.006460 train-nlik:0.045889 valid-err:0.020500 valid-nlik:0.081005 test-err:0.019000 test-nlik:0.072472
[146] train-err:0.006540 train-nlik:0.045832 valid-err:0.020600 valid-nlik:0.080813 test-err:0.018900 test-nlik:0.072436
[147] train-err:0.006500 train-nlik:0.045735 valid-err:0.020700 valid-nlik:0.080625 test-err:0.019000 test-nlik:0.072442
[148] train-err:0.006580 train-nlik:0.045688 valid-err:0.020800 valid-nlik:0.080501 test-err:0.018800 test-nlik:0.072474
[149] train-err:0.006520 train-nlik:0.045667 valid-err:0.020900 valid-nlik:0.080391 test-err:0.018800 test-nlik:0.072511
[150] train-err:0.006480 train-nlik:0.045563 valid-err:0.021200 valid-nlik:0.080286 test-err:0.018800 test-nlik:0.072479
[151] train-err:0.006400 train-nlik:0.045519 valid-err:0.021000 valid-nlik:0.080187 test-err:0.018700 test-nlik:0.072472
[152] train-err:0.006380 train-nlik:0.045454 valid-err:0.020800 valid-nlik:0.080114 test-err:0.018800 test-nlik:0.072442
[153] train-err:0.006360 train-nlik:0.045367 valid-err:0.020600 valid-nlik:0.080035 test-err:0.018700 test-nlik:0.072452
[154] train-err:0.006360 train-nlik:0.045251 valid-err:0.020300 valid-nlik:0.079911 test-err:0.018700 test-nlik:0.072415
